Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Moyenne_Anomalie,Emission_CO2,Année
-0.47,-0.34,-0.24,-0.44,-.43,-.36,-.31,-.32,-.17,-.06,-.11,-.29,-0.3725,0.16918386959,1918.0
-0.2,-0.24,-0.21,-0.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-0.1925,0.14647262721,1919.0
-0.24,-0.26,-0.12,-0.24,-.27,-.36,-.30,-.26,-.22,-.26,-.27,-.46,-0.215,0.17039598387,1920.0
-0.04,-0.18,-0.23,-0.3,-.30,-.27,-.14,-.26,-.19,-.04,-.14,-.18,-0.1875,0.15077567303,1921.0
-0.33,-0.44,-0.15,-0.23,-.34,-.31,-.27,-.33,-.36,-.33,-.15,-.19,-0.28750000000000003,0.15961505274,1922.0
-0.28,-0.39,-0.34,-0.41,-.34,-.30,-.31,-.33,-.31,-.14,-.03,-.05,-0.355,0.17596227944,1923.0
-0.23,-0.24,-0.08,-0.32,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-0.21749999999999997,0.18042985042,1924.0
-0.39,-0.4,-0.28,-0.26,-.29,-.33,-.27,-.20,-.20,-.17,.05,.06,-0.3325,0.18168078617,1925.0
0.2,0.02,0.11,-0.12,-.24,-.26,-.28,-.13,-.14,-.11,-.07,-.30,0.052500000000000005,0.17463751141,1926.0
-0.27,-0.18,-0.39,-0.3,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-0.28500000000000003,0.19540738358,1927.0
-0.02,-0.09,-0.25,-0.28,-.30,-.39,-.19,-.22,-.22,-.19,-.09,-.17,-0.16,0.19485276581,1928.0
-0.45,-0.59,-0.32,-0.42,-.38,-.44,-.37,-.33,-.26,-.14,-.11,-.54,-0.445,0.2095421042,1929.0
-0.3,-0.27,-0.11,-0.25,-.24,-.22,-.21,-.15,-.15,-.12,.18,-.06,-0.2325,0.19421424714,1930.0
-0.11,-0.21,-0.1,-0.23,-.20,-.09,-.04,-.04,-.07,.05,-.06,-.05,-0.1625,0.17490004718,1931.0
0.15,-0.17,-0.18,-0.06,-.17,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-0.065,0.15872621601,1932.0
-0.24,-0.3,-0.3,-0.24,-.29,-.35,-.21,-.24,-.30,-.25,-.31,-.45,-0.27,0.16653465206,1933.0
-0.21,-0.03,-0.29,-0.31,-.09,-.15,-.10,-.12,-.15,-.07,.03,-.02,-0.21000000000000002,0.18143513214,1934.0
-0.34,0.14,-0.14,-0.37,-.29,-.27,-.22,-.22,-.21,-.06,-.26,-.17,-0.1775,0.19043446206,1935.0
-0.27,-0.38,-0.21,-0.2,-.16,-.22,-.09,-.13,-.09,-.03,.01,-.01,-0.265,0.20797193177,1936.0
-0.07,0.03,-0.2,-0.16,-.05,-.05,-.03,.01,.09,.09,.09,-.07,-0.1,0.22298142091,1937.0
0.08,0.04,0.1,0.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.13,0.07,0.21271900096,1938.0
-0.05,-0.06,-0.17,-0.09,-.04,-.07,-.05,-.06,-.07,-.03,.07,.44,-0.0925,0.22359868706,1939.0
0.0,0.08,0.09,0.18,.11,.12,.13,.07,.15,.11,.17,.32,0.0875,0.24317464065,1940.0
0.18,0.31,0.1,0.16,.17,.13,.22,.15,.02,.35,.23,.22,0.1875,0.24574554906,1941.0
0.3,0.03,0.05,0.1,.11,.05,.01,-.04,-.03,.02,.10,.13,0.12,0.24169232138,1942.0
-0.01,0.18,-0.03,0.11,.07,-.05,.09,.01,.05,.23,.20,.24,0.0625,0.24543817432,1943.0
0.36,0.25,0.26,0.2,.19,.16,.18,.18,.28,.26,.11,.04,0.2675,0.24650589193,1944.0
0.1,0.01,0.06,0.2,.06,.01,.04,.26,.20,.19,.07,-.07,0.0925,0.19818317837,1945.0
0.15,0.03,0.01,0.06,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,0.0625,0.22174830687,1946.0
-0.06,-0.08,0.06,0.06,-.01,-.02,-.04,-.07,-.12,.07,.03,-.13,-0.0050000000000000044,0.24791329801,1947.0
0.07,-0.14,-0.24,-0.12,.00,-.05,-.11,-.12,-.14,-.05,-.12,-.23,-0.1075,0.26190578067,1948.0
0.07,-0.14,-0.02,-0.11,-.10,-.27,-.13,-.13,-.15,-.06,-.10,-.18,-0.05,0.25957157225,1949.0
-0.26,-0.27,-0.08,-0.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21,-0.205,0.29018719302,1950.0
-0.34,-0.41,-0.2,-0.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-0.27249999999999996,0.30932376903,1951.0
0.12,0.12,-0.08,0.03,-.03,-.03,.05,.05,.07,.00,-.13,-.01,0.047499999999999994,0.31449486703,1952.0
0.08,0.15,0.11,0.19,.12,.12,.01,.05,.05,.08,-.02,.05,0.1325,0.3235451473,1953.0
-0.24,-0.1,-0.14,-0.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-0.155,0.33305879166,1954.0
0.13,-0.16,-0.32,-0.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-0.1425,0.36444616632,1955.0
-0.13,-0.24,-0.21,-0.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-0.215,0.38829966556,1956.0
-0.09,-0.03,-0.05,0.0,.09,.16,.02,.15,.09,.01,.08,.15,-0.042499999999999996,0.40169350502,1957.0
0.39,0.22,0.08,0.01,.06,-.08,.05,-.05,-.02,.04,.02,.01,0.175,0.41253239345,1958.0
0.08,0.07,0.18,0.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,0.1225,0.43191252069,1959.0
0.0,0.13,-0.35,-0.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-0.0925,0.45858292307,1960.0
0.07,0.19,0.09,0.13,.12,.11,.01,.01,.09,.00,.03,-.16,0.12,0.46303852437,1961.0
0.05,0.15,0.1,0.05,-.06,.03,.02,-.01,.00,.01,.06,-.02,0.08750000000000001,0.48132162318,1962.0
-0.03,0.18,-0.14,-0.07,-.06,.05,.06,.22,.18,.15,.15,-.03,-0.015000000000000006,0.50811098708,1963.0
-0.09,-0.1,-0.21,-0.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-0.18,0.53567273411,1964.0
-0.08,-0.17,-0.13,-0.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-0.14250000000000002,0.55885079924,1965.0
-0.19,-0.04,0.03,-0.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-0.0825,0.58477067593,1966.0
-0.07,-0.21,0.05,-0.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-0.07,0.60309037055,1967.0
-0.25,-0.14,0.2,-0.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-0.0625,0.63591827441,1968.0
-0.11,-0.18,0.0,0.17,.18,.03,-.04,.03,.08,.09,.12,.24,-0.029999999999999992,0.67754588053,1969.0
0.08,0.22,0.06,0.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,0.1025,0.73049669974,1970.0
-0.03,-0.16,-0.18,-0.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.09,-0.11,0.76028366088,1971.0
-0.22,-0.18,0.02,0.0,-.03,.04,.01,.16,.02,.08,.02,.18,-0.095,0.79441192309,1972.0
0.29,0.32,0.29,0.27,.22,.19,.12,.05,.09,.10,.05,-.07,0.2925,0.83609579877,1973.0
-0.1,-0.27,-0.05,-0.12,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-0.135,0.83485586021,1974.0
0.1,0.08,0.13,0.04,.16,-.01,.00,-.17,-.03,-.11,-.17,-.17,0.0875,0.83815676463,1975.0
-0.03,-0.06,-0.21,-0.07,-.21,-.12,-.10,-.12,-.07,-.24,-.06,.11,-0.0925,0.88546779788,1976.0
