Country,RCP 2.6,RCP 4.5,RCP 6,RCP 8.5
Nauru,1.07,1.67,2.13,3.36
Nepal,1.24,2.62,3.18,4.85
Netherlands,1.08,1.98,2.56,4.02
Netherlands Antilles,0.94,1.63,1.97,3.12
New Caledonia,0.64,1.49,1.74,2.89
New Zealand,0.67,1.45,1.94,3.02
Nicaragua,0.95,1.91,2.35,4
Niger,1.27,2.52,3.18,5.14
Nigeria,1.13,2.15,2.68,4.31
Niue,0.62,1.26,1.53,2.58
Norfolk Island,0.68,1.5,1.88,2.94
Northern Mariana Islands,0.75,1.61,1.94,2.98
Norway,1.46,2.58,2.89,4.76
Oman,1.09,2.22,2.79,4.45
Pakistan,1.28,2.72,3.28,5.08
Palau,0.76,1.49,1.83,3.1
Panama,0.94,1.77,2.24,3.62
Papua New Guinea,0.75,1.62,2.01,3.32
Paraguay,1.18,2.22,2.99,4.68
Peru,1.1,2.27,2.78,4.77
Philippines,0.76,1.61,2.02,3.18
Pitcairn Islands,0.56,1.01,1.23,2
Poland,1.48,2.65,3.32,4.91
Portugal,1.02,1.99,2.32,3.98
Puerto Rico,0.86,1.6,1.91,3.01
Qatar,1.33,2.57,3.3,4.95
Republic of Montenegro,1.43,2.55,3.14,5.06
Republic of Serbia,1.55,2.68,3.18,5.23
Reunion,0.81,1.56,1.75,2.87
Romania,1.62,2.82,3.39,5.39
Russia,1.93,3.61,4.25,6.72
Rwanda,1.13,2.12,2.36,4.52
Samoa,0.73,1.34,1.52,2.76
San Marino,1.3,2.54,3.02,5.15
Sao Tome and Principe,0.87,1.87,2.18,3.55
Saudi Arabia,1.34,2.75,3.51,5.49
Senegal,1.05,2.23,2.74,4.38
Seychelles,0.82,1.73,1.99,3.39
Sierra Leone,0.94,2.04,2.4,4.01
Singapore,0.78,1.6,1.82,3.33
Slovakia,1.61,2.8,3.4,5.22
Slovenia,1.39,2.61,3.29,5.05
Solomon Islands,0.75,1.42,1.72,2.99
Somalia,0.98,2.02,2.42,3.8
South Africa,1.2,2.36,2.72,4.64
South Sudan,1.18,2.25,2.71,4.52
Spain,1.15,2.26,2.64,4.62
Sri Lanka,0.75,1.72,2.04,3.39
St. Helena,0.78,1.47,1.79,2.81
St. Kitts and Nevis,0.85,1.54,1.87,2.98
St. Lucia,0.84,1.54,1.89,2.88
St. Vincent and the Grenadines,0.83,1.53,1.87,2.88
Sudan,1.22,2.38,3.12,4.92
Suriname,1.09,2.03,2.36,4.28
Svalbard,3.71,5.62,6.91,9.15
Sweden,1.62,2.8,3.17,5.04
Switzerland,1.28,2.49,3.08,4.74
Syria,1.36,2.53,3.21,5.11
Tajikistan,1.62,3.13,3.84,5.7
"Tanzania, United Republic of",0.94,2.07,2.51,4.19
Thailand,1.02,2.03,2.5,4.03
Timor Leste,0.74,1.59,1.94,3.17
Togo,1.12,2.09,2.36,4.23
Tokelau,0.83,1.48,1.66,3.03
Tonga,0.62,1.28,1.61,2.69
Trinidad and Tobago,0.88,1.63,1.97,3.12
Tunisia,1.23,2.38,2.82,4.76
Turkey,1.41,2.62,3.36,5.04
