Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Moyenne_Anomalie,Emission_CO2,Année
-0.57,-0.63,-0.63,-0.54,-.55,-.43,-.25,-.22,-.22,-.44,-.33,-.67,-0.5925,1.7384339153e-23,1917.0
-0.47,-0.34,-0.24,-0.44,-.43,-.36,-.31,-.32,-.17,-.06,-.11,-.29,-0.3725,1.6918386959000002e-23,1918.0
-0.2,-0.24,-0.21,-0.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-0.1925,1.4647262721e-23,1919.0
-0.24,-0.26,-0.12,-0.24,-.27,-.36,-.30,-.26,-.22,-.26,-.27,-.46,-0.215,1.7039598387e-23,1920.0
-0.04,-0.18,-0.23,-0.3,-.30,-.27,-.14,-.26,-.19,-.04,-.14,-.18,-0.1875,1.5077567303e-23,1921.0
-0.33,-0.44,-0.15,-0.23,-.34,-.31,-.27,-.33,-.36,-.33,-.15,-.19,-0.28750000000000003,1.5961505274000002e-23,1922.0
-0.28,-0.39,-0.34,-0.41,-.34,-.30,-.31,-.33,-.31,-.14,-.03,-.05,-0.355,1.7596227944e-23,1923.0
-0.23,-0.24,-0.08,-0.32,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-0.21749999999999997,1.8042985042000002e-23,1924.0
-0.39,-0.4,-0.28,-0.26,-.29,-.33,-.27,-.20,-.20,-.17,.05,.06,-0.3325,1.8168078617e-23,1925.0
0.2,0.02,0.11,-0.12,-.24,-.26,-.28,-.13,-.14,-.11,-.07,-.30,0.052500000000000005,1.7463751141e-23,1926.0
-0.27,-0.18,-0.39,-0.3,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-0.28500000000000003,1.9540738358e-23,1927.0
-0.02,-0.09,-0.25,-0.28,-.30,-.39,-.19,-.22,-.22,-.19,-.09,-.17,-0.16,1.9485276581e-23,1928.0
-0.45,-0.59,-0.32,-0.42,-.38,-.44,-.37,-.33,-.26,-.14,-.11,-.54,-0.445,2.095421042e-23,1929.0
-0.3,-0.27,-0.11,-0.25,-.24,-.22,-.21,-.15,-.15,-.12,.18,-.06,-0.2325,1.9421424714e-23,1930.0
-0.11,-0.21,-0.1,-0.23,-.20,-.09,-.04,-.04,-.07,.05,-.06,-.05,-0.1625,1.7490004717999997e-23,1931.0
0.15,-0.17,-0.18,-0.06,-.17,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-0.065,1.5872621601e-23,1932.0
-0.24,-0.3,-0.3,-0.24,-.29,-.35,-.21,-.24,-.30,-.25,-.31,-.45,-0.27,1.6653465206e-23,1933.0
-0.21,-0.03,-0.29,-0.31,-.09,-.15,-.10,-.12,-.15,-.07,.03,-.02,-0.21000000000000002,1.8143513214e-23,1934.0
-0.34,0.14,-0.14,-0.37,-.29,-.27,-.22,-.22,-.21,-.06,-.26,-.17,-0.1775,1.9043446206e-23,1935.0
-0.27,-0.38,-0.21,-0.2,-.16,-.22,-.09,-.13,-.09,-.03,.01,-.01,-0.265,2.0797193177000003e-23,1936.0
-0.07,0.03,-0.2,-0.16,-.05,-.05,-.03,.01,.09,.09,.09,-.07,-0.1,2.2298142091e-23,1937.0
0.08,0.04,0.1,0.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.13,0.07,2.1271900096e-23,1938.0
-0.05,-0.06,-0.17,-0.09,-.04,-.07,-.05,-.06,-.07,-.03,.07,.44,-0.0925,2.2359868706e-23,1939.0
0.0,0.08,0.09,0.18,.11,.12,.13,.07,.15,.11,.17,.32,0.0875,2.4317464065e-23,1940.0
0.18,0.31,0.1,0.16,.17,.13,.22,.15,.02,.35,.23,.22,0.1875,2.4574554906000002e-23,1941.0
0.3,0.03,0.05,0.1,.11,.05,.01,-.04,-.03,.02,.10,.13,0.12,2.4169232138e-23,1942.0
-0.01,0.18,-0.03,0.11,.07,-.05,.09,.01,.05,.23,.20,.24,0.0625,2.4543817431999998e-23,1943.0
0.36,0.25,0.26,0.2,.19,.16,.18,.18,.28,.26,.11,.04,0.2675,2.4650589193e-23,1944.0
0.1,0.01,0.06,0.2,.06,.01,.04,.26,.20,.19,.07,-.07,0.0925,1.9818317836999998e-23,1945.0
0.15,0.03,0.01,0.06,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,0.0625,2.2174830687e-23,1946.0
-0.06,-0.08,0.06,0.06,-.01,-.02,-.04,-.07,-.12,.07,.03,-.13,-0.0050000000000000044,2.4791329801000002e-23,1947.0
0.07,-0.14,-0.24,-0.12,.00,-.05,-.11,-.12,-.14,-.05,-.12,-.23,-0.1075,2.6190578066999996e-23,1948.0
0.07,-0.14,-0.02,-0.11,-.10,-.27,-.13,-.13,-.15,-.06,-.10,-.18,-0.05,2.5957157224999998e-23,1949.0
-0.26,-0.27,-0.08,-0.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21,-0.205,2.9018719302e-23,1950.0
-0.34,-0.41,-0.2,-0.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-0.27249999999999996,3.0932376902999994e-23,1951.0
0.12,0.12,-0.08,0.03,-.03,-.03,.05,.05,.07,.00,-.13,-.01,0.047499999999999994,3.1449486703e-23,1952.0
0.08,0.15,0.11,0.19,.12,.12,.01,.05,.05,.08,-.02,.05,0.1325,3.235451473e-23,1953.0
-0.24,-0.1,-0.14,-0.14,-.20,-.19,-.19,-.17,-.10,-.02,.08,-.18,-0.155,3.3305879166e-23,1954.0
0.13,-0.16,-0.32,-0.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-0.1425,3.6444616632e-23,1955.0
-0.13,-0.24,-0.21,-0.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-0.215,3.8829966555999996e-23,1956.0
-0.09,-0.03,-0.05,0.0,.09,.16,.02,.15,.09,.01,.08,.15,-0.042499999999999996,4.0169350502e-23,1957.0
0.39,0.22,0.08,0.01,.06,-.08,.05,-.05,-.02,.04,.02,.01,0.175,4.1253239344999997e-23,1958.0
0.08,0.07,0.18,0.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,0.1225,4.3191252069e-23,1959.0
0.0,0.13,-0.35,-0.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-0.0925,4.5858292307e-23,1960.0
0.07,0.19,0.09,0.13,.12,.11,.01,.01,.09,.00,.03,-.16,0.12,4.6303852437e-23,1961.0
0.05,0.15,0.1,0.05,-.06,.03,.02,-.01,.00,.01,.06,-.02,0.08750000000000001,4.8132162318e-23,1962.0
-0.03,0.18,-0.14,-0.07,-.06,.05,.06,.22,.18,.15,.15,-.03,-0.015000000000000006,5.0811098708000005e-23,1963.0
-0.09,-0.1,-0.21,-0.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-0.18,5.3567273411e-23,1964.0
-0.08,-0.17,-0.13,-0.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-0.14250000000000002,5.5885079924e-23,1965.0
-0.19,-0.04,0.03,-0.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-0.0825,5.847706759300001e-23,1966.0
-0.07,-0.21,0.05,-0.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-0.07,6.0309037055e-23,1967.0
-0.25,-0.14,0.2,-0.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15,-0.0625,6.359182744100001e-23,1968.0
-0.11,-0.18,0.0,0.17,.18,.03,-.04,.03,.08,.09,.12,.24,-0.029999999999999992,6.775458805299999e-23,1969.0
0.08,0.22,0.06,0.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,0.1025,7.3049669974e-23,1970.0
-0.03,-0.16,-0.18,-0.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.09,-0.11,7.6028366088e-23,1971.0
-0.22,-0.18,0.02,0.0,-.03,.04,.01,.16,.02,.08,.02,.18,-0.095,7.9441192309e-23,1972.0
0.29,0.32,0.29,0.27,.22,.19,.12,.05,.09,.10,.05,-.07,0.2925,8.3609579877e-23,1973.0
-0.1,-0.27,-0.05,-0.12,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-0.135,8.348558602100001e-23,1974.0
0.1,0.08,0.13,0.04,.16,-.01,.00,-.17,-.03,-.11,-.17,-.17,0.0875,8.3815676463e-23,1975.0
-0.03,-0.06,-0.21,-0.07,-.21,-.12,-.10,-.12,-.07,-.24,-.06,.11,-0.0925,8.854677978800001e-23,1976.0
0.18,0.22,0.24,0.26,.33,.27,.20,.18,.02,.03,.16,.03,0.225,9.0804372371e-23,1977.0
0.06,0.1,0.19,0.17,.09,-.01,.04,-.13,.06,.03,.14,.08,0.13,9.3602695654e-23,1978.0
0.08,-0.1,0.19,0.15,.04,.14,.04,.17,.25,.26,.28,.48,0.07999999999999999,9.6295922397e-23,1979.0
0.3,0.39,0.3,0.3,.35,.20,.22,.18,.20,.13,.29,.21,0.3225,9.588246821700002e-23,1980.0
0.53,0.42,0.48,0.32,.25,.29,.32,.35,.15,.12,.23,.41,0.4375,9.348845864600001e-23,1981.0
0.05,0.16,0.03,0.15,.18,.06,.14,.04,.14,.13,.18,.42,0.0975,9.285735270599999e-23,1982.0
0.53,0.43,0.42,0.28,.34,.22,.18,.35,.37,.17,.30,.16,0.415,9.3414947548e-23,1983.0
0.31,0.14,0.26,0.06,.32,.02,.19,.19,.21,.13,.07,-.04,0.1925,9.628792514600001e-23,1984.0
0.22,-0.04,0.17,0.12,.14,.15,.04,.17,.13,.11,.05,.14,0.1175,9.967064751e-23,1985.0
0.26,0.37,0.3,0.22,.21,.12,.11,.16,.03,.15,.10,.13,0.2875,1.00909833871e-22,1986.0
0.32,0.43,0.18,0.24,.25,.34,.40,.25,.35,.32,.29,.46,0.2925,1.0337327989800001e-22,1987.0
0.56,0.44,0.51,0.42,.44,.40,.33,.39,.37,.37,.12,.28,0.4825,1.07029006405e-22,1988.0
0.12,0.3,0.36,0.29,.17,.16,.34,.33,.34,.29,.20,.37,0.2675,1.0831410324599998e-22,1989.0
0.41,0.44,0.8,0.56,.45,.37,.46,.34,.23,.44,.46,.40,0.5525,1.1021992206599998e-22,1990.0
0.42,0.49,0.35,0.51,.34,.53,.47,.39,.44,.29,.29,.32,0.44249999999999995,1.1081232960300002e-22,1991.0
0.47,0.4,0.48,0.27,.31,.25,.08,.08,-.01,.06,.02,.21,0.405,1.07977435711e-22,1992.0
0.34,0.37,0.36,0.27,.28,.23,.25,.11,.11,.23,.03,.18,0.33499999999999996,1.0844003087000002e-22,1993.0
0.26,0.02,0.29,0.41,.28,.43,.30,.21,.32,.42,.44,.38,0.245,1.08454436041e-22,1994.0
0.52,0.79,0.46,0.47,.27,.43,.45,.45,.33,.47,.44,.25,0.56,1.1032157565000002e-22,1995.0
0.24,0.46,0.32,0.32,.28,.25,.36,.48,.24,.19,.38,.37,0.335,1.1328675487499999e-22,1996.0
0.3,0.41,0.51,0.34,.34,.54,.33,.41,.52,.61,.64,.59,0.39,1.1348860944100001e-22,1997.0
0.58,0.88,0.63,0.63,.68,.77,.66,.65,.42,.41,.43,.55,0.6799999999999999,1.12829869563e-22,1998.0
0.49,0.64,0.32,0.31,.26,.36,.38,.31,.38,.34,.37,.41,0.44,1.14071381112e-22,1999.0
0.25,0.55,0.55,0.56,.35,.39,.39,.42,.38,.26,.30,.28,0.47750000000000004,1.1727115941699998e-22,2000.0
0.46,0.44,0.55,0.5,.57,.51,.59,.49,.52,.50,.72,.55,0.48750000000000004,1.18473023917e-22,2001.0
0.77,0.78,0.88,0.58,.64,.52,.60,.53,.62,.53,.58,.43,0.7525000000000001,1.20844444834e-22,2002.0
0.75,0.58,0.59,0.55,.60,.47,.57,.64,.62,.72,.53,.74,0.6174999999999999,1.26657282656e-22,2003.0
0.58,0.72,0.63,0.61,.37,.43,.26,.45,.50,.60,.72,.50,0.6349999999999999,1.31875591939e-22,2004.0
0.74,0.6,0.74,0.68,.62,.64,.61,.60,.70,.74,.73,.68,0.6900000000000001,1.35823427976e-22,2005.0
0.55,0.72,0.62,0.48,.48,.65,.53,.70,.64,.69,.73,.79,0.5925,1.40015858581e-22,2006.0
1.02,0.69,0.72,0.76,.69,.61,.59,.59,.59,.58,.58,.49,0.7974999999999999,1.43608116679e-22,2007.0
0.3,0.37,0.74,0.53,.49,.49,.59,.46,.60,.66,.68,.53,0.485,1.4582686239600001e-22,2008.0
0.64,0.52,0.53,0.6,.64,.64,.73,.67,.72,.64,.79,.67,0.5725,1.43050684943e-22,2009.0
0.74,0.83,0.92,0.84,.75,.67,.62,.66,.63,.70,.81,.44,0.8324999999999999,1.50639104126e-22,2010.0
0.51,0.47,0.65,0.64,.53,.62,.69,.74,.56,.65,.58,.60,0.5675,1.55179919824e-22,2011.0
0.48,0.49,0.57,0.72,.78,.64,.58,.64,.71,.79,.78,.53,0.565,1.57403072514e-22,2012.0
0.7,0.62,0.67,0.53,.60,.68,.60,.69,.77,.69,.83,.69,0.6299999999999999,1.5827448096600003e-22,2013.0
0.75,0.54,0.78,0.79,.85,.67,.58,.82,.87,.80,.66,.78,0.7150000000000001,1.58941227066e-22,2014.0
0.85,0.9,0.95,0.75,.80,.81,.73,.80,.84,1.09,1.06,1.16,0.8625,1.5890009910000001e-22,2015.0
1.17,1.37,1.36,1.1,.95,.80,.84,1.02,.90,.88,.91,.86,1.25,1.5877817836300002e-22,2016.0
1.01,1.13,1.16,0.94,.90,.71,.81,.87,.77,.90,.88,.93,1.06,1.6081215521500002e-22,2017.0
0.81,0.84,0.88,0.88,.82,.77,.82,.76,.80,1.01,.82,.91,0.8524999999999999,1.6368708698600003e-22,2018.0
0.92,0.95,1.17,1.01,.84,.90,.94,.94,.92,1.01,.99,1.08,1.0125,1.63742306297e-22,2019.0
1.16,1.24,1.16,1.13,1.01,.91,.90,.87,.98,.88,1.10,.81,1.1724999999999999,1.5528682332199999e-22,2020.0
0.81,0.64,0.88,0.74,.78,.84,.92,.81,.91,.99,.92,.85,0.7675000000000001,,
0.91,0.89,1.04,0.82,,,,,,,,,0.9149999999999999,,
