,Time,Anomaly,Year,Latitudes
123,1893;64S-44S,-0.2,1893,64S-44S
124,1893;90S-64S,-0.06,1893,90S-64S
126,1894;64N-90N,-0.93,1894,64N-90N
127,1894;44N-64N,-0.32,1894,44N-64N
128,1894;24N-44N,-0.2,1894,24N-44N
129,1894;EQU-24N,-0.5,1894,EQU-24N
130,1894;24S-EQU,-0.23,1894,24S-EQU
131,1894;44S-24S,-0.14,1894,44S-24S
132,1894;64S-44S,-0.35,1894,64S-44S
133,1894;90S-64S,-0.4,1894,90S-64S
135,1895;64N-90N,-0.65,1895,64N-90N
136,1895;44N-64N,-0.52,1895,44N-64N
137,1895;24N-44N,-0.28,1895,24N-44N
138,1895;EQU-24N,-0.16,1895,EQU-24N
139,1895;24S-EQU,-0.02,1895,24S-EQU
140,1895;44S-24S,-0.19,1895,44S-24S
141,1895;64S-44S,-0.32,1895,64S-44S
142,1895;90S-64S,-0.6,1895,90S-64S
144,1896;64N-90N,-0.86,1896,64N-90N
145,1896;44N-64N,-0.36,1896,44N-64N
146,1896;24N-44N,-0.24,1896,24N-44N
147,1896;EQU-24N,0.05,1896,EQU-24N
148,1896;24S-EQU,0.15,1896,24S-EQU
149,1896;44S-24S,-0.14,1896,44S-24S
150,1896;64S-44S,-0.13,1896,64S-44S
151,1896;90S-64S,0.23,1896,90S-64S
153,1897;64N-90N,-0.54,1897,64N-90N
154,1897;44N-64N,-0.46,1897,44N-64N
155,1897;24N-44N,-0.26,1897,24N-44N
156,1897;EQU-24N,0.13,1897,EQU-24N
157,1897;24S-EQU,0.21,1897,24S-EQU
158,1897;44S-24S,-0.18,1897,44S-24S
159,1897;64S-44S,-0.27,1897,64S-44S
160,1897;90S-64S,0.38,1897,90S-64S
162,1898;64N-90N,-1.14,1898,64N-90N
163,1898;44N-64N,-0.23,1898,44N-64N
164,1898;24N-44N,-0.25,1898,24N-44N
165,1898;EQU-24N,-0.19,1898,EQU-24N
166,1898;24S-EQU,-0.25,1898,24S-EQU
167,1898;44S-24S,-0.27,1898,44S-24S
168,1898;64S-44S,-0.21,1898,64S-44S
169,1898;90S-64S,0.36,1898,90S-64S
171,1899;64N-90N,-1.02,1899,64N-90N
172,1899;44N-64N,-0.1,1899,44N-64N
173,1899;24N-44N,-0.17,1899,24N-44N
174,1899;EQU-24N,-0.17,1899,EQU-24N
175,1899;24S-EQU,-0.08,1899,24S-EQU
176,1899;44S-24S,-0.15,1899,44S-24S
177,1899;64S-44S,-0.22,1899,64S-44S
178,1899;90S-64S,0.56,1899,90S-64S
180,1900;64N-90N,-0.53,1900,64N-90N
181,1900;44N-64N,-0.15,1900,44N-64N
182,1900;24N-44N,-0.17,1900,24N-44N
183,1900;EQU-24N,0.08,1900,EQU-24N
184,1900;24S-EQU,0.26,1900,24S-EQU
185,1900;44S-24S,-0.28,1900,44S-24S
186,1900;64S-44S,-0.29,1900,64S-44S
187,1900;90S-64S,0.25,1900,90S-64S
189,1901;64N-90N,-0.39,1901,64N-90N
190,1901;44N-64N,-0.1,1901,44N-64N
191,1901;24N-44N,-0.16,1901,24N-44N
192,1901;EQU-24N,-0.07,1901,EQU-24N
193,1901;24S-EQU,-0.02,1901,24S-EQU
194,1901;44S-24S,-0.27,1901,44S-24S
195,1901;64S-44S,-0.34,1901,64S-44S
196,1901;90S-64S,0.24,1901,90S-64S
198,1902;64N-90N,-1.37,1902,64N-90N
199,1902;44N-64N,-0.5,1902,44N-64N
200,1902;24N-44N,-0.34,1902,24N-44N
