,Time,Anomaly,Year,Latitudes
617,1948;44S-24S,-0.19,1948,44S-24S
618,1948;64S-44S,-0.19,1948,64S-44S
619,1948;90S-64S,-1.37,1948,90S-64S
621,1949;64N-90N,0.21,1949,64N-90N
622,1949;44N-64N,0.17,1949,44N-64N
623,1949;24N-44N,0.05,1949,24N-44N
624,1949;EQU-24N,-0.23,1949,EQU-24N
625,1949;24S-EQU,-0.14,1949,24S-EQU
626,1949;44S-24S,-0.17,1949,44S-24S
627,1949;64S-44S,-0.15,1949,64S-44S
628,1949;90S-64S,-1.97,1949,90S-64S
630,1950;64N-90N,0.19,1950,64N-90N
631,1950;44N-64N,-0.31,1950,44N-64N
632,1950;24N-44N,0.04,1950,24N-44N
633,1950;EQU-24N,-0.3,1950,EQU-24N
634,1950;24S-EQU,-0.28,1950,24S-EQU
635,1950;44S-24S,-0.06,1950,44S-24S
636,1950;64S-44S,-0.16,1950,64S-44S
637,1950;90S-64S,-0.86,1950,90S-64S
639,1951;64N-90N,0.08,1951,64N-90N
640,1951;44N-64N,0.01,1951,44N-64N
641,1951;24N-44N,0.12,1951,24N-44N
642,1951;EQU-24N,0.0,1951,EQU-24N
643,1951;24S-EQU,-0.11,1951,24S-EQU
644,1951;44S-24S,-0.22,1951,44S-24S
645,1951;64S-44S,-0.16,1951,64S-44S
646,1951;90S-64S,-0.7,1951,90S-64S
648,1952;64N-90N,0.27,1952,64N-90N
649,1952;44N-64N,-0.09,1952,44N-64N
650,1952;24N-44N,0.19,1952,24N-44N
651,1952;EQU-24N,-0.01,1952,EQU-24N
652,1952;24S-EQU,0.05,1952,24S-EQU
653,1952;44S-24S,-0.1,1952,44S-24S
654,1952;64S-44S,-0.02,1952,64S-44S
655,1952;90S-64S,-0.5,1952,90S-64S
657,1953;64N-90N,1.02,1953,64N-90N
658,1953;44N-64N,0.35,1953,44N-64N
659,1953;24N-44N,0.14,1953,24N-44N
660,1953;EQU-24N,0.08,1953,EQU-24N
661,1953;24S-EQU,0.07,1953,24S-EQU
662,1953;44S-24S,-0.08,1953,44S-24S
663,1953;64S-44S,-0.24,1953,64S-44S
664,1953;90S-64S,-1.1,1953,90S-64S
666,1954;64N-90N,0.8,1954,64N-90N
667,1954;44N-64N,-0.21,1954,44N-64N
668,1954;24N-44N,0.0,1954,24N-44N
669,1954;EQU-24N,-0.14,1954,EQU-24N
670,1954;24S-EQU,-0.29,1954,24S-EQU
671,1954;44S-24S,-0.17,1954,44S-24S
672,1954;64S-44S,-0.2,1954,64S-44S
673,1954;90S-64S,-0.81,1954,90S-64S
675,1955;64N-90N,-0.24,1955,64N-90N
676,1955;44N-64N,-0.11,1955,44N-64N
677,1955;24N-44N,0.23,1955,24N-44N
678,1955;EQU-24N,-0.29,1955,EQU-24N
679,1955;24S-EQU,-0.38,1955,24S-EQU
680,1955;44S-24S,-0.16,1955,44S-24S
681,1955;64S-44S,-0.08,1955,64S-44S
682,1955;90S-64S,1.22,1955,90S-64S
684,1956;64N-90N,0.01,1956,64N-90N
685,1956;44N-64N,-0.47,1956,44N-64N
686,1956;24N-44N,-0.09,1956,24N-44N
687,1956;EQU-24N,-0.28,1956,EQU-24N
688,1956;24S-EQU,-0.38,1956,24S-EQU
689,1956;44S-24S,-0.14,1956,44S-24S
690,1956;64S-44S,0.02,1956,64S-44S
691,1956;90S-64S,0.76,1956,90S-64S
693,1957;64N-90N,0.09,1957,64N-90N
694,1957;44N-64N,0.22,1957,44N-64N
695,1957;24N-44N,-0.11,1957,24N-44N
696,1957;EQU-24N,0.05,1957,EQU-24N
697,1957;24S-EQU,0.1,1957,24S-EQU
698,1957;44S-24S,-0.09,1957,44S-24S
699,1957;64S-44S,-0.02,1957,64S-44S
700,1957;90S-64S,0.49,1957,90S-64S
702,1958;64N-90N,-0.16,1958,64N-90N
703,1958;44N-64N,0.15,1958,44N-64N
704,1958;24N-44N,0.12,1958,24N-44N
705,1958;EQU-24N,0.26,1958,EQU-24N
706,1958;24S-EQU,0.15,1958,24S-EQU
707,1958;44S-24S,-0.09,1958,44S-24S
708,1958;64S-44S,-0.08,1958,64S-44S
709,1958;90S-64S,-0.53,1958,90S-64S
711,1959;64N-90N,0.49,1959,64N-90N
712,1959;44N-64N,0.18,1959,44N-64N
713,1959;24N-44N,0.04,1959,24N-44N
714,1959;EQU-24N,0.07,1959,EQU-24N
715,1959;24S-EQU,0.08,1959,24S-EQU
716,1959;44S-24S,-0.03,1959,44S-24S
717,1959;64S-44S,-0.26,1959,64S-44S
718,1959;90S-64S,-0.36,1959,90S-64S
720,1960;64N-90N,0.34,1960,64N-90N
721,1960;44N-64N,-0.07,1960,44N-64N
722,1960;24N-44N,0.11,1960,24N-44N
723,1960;EQU-24N,0.06,1960,EQU-24N
724,1960;24S-EQU,-0.03,1960,24S-EQU
725,1960;44S-24S,-0.1,1960,44S-24S
726,1960;64S-44S,-0.07,1960,64S-44S
727,1960;90S-64S,-0.75,1960,90S-64S
729,1961;64N-90N,-0.15,1961,64N-90N
730,1961;44N-64N,0.38,1961,44N-64N
731,1961;24N-44N,0.18,1961,24N-44N
732,1961;EQU-24N,-0.07,1961,EQU-24N
733,1961;24S-EQU,0.0,1961,24S-EQU
734,1961;44S-24S,0.14,1961,44S-24S
735,1961;64S-44S,-0.17,1961,64S-44S
736,1961;90S-64S,0.21,1961,90S-64S
738,1962;64N-90N,0.45,1962,64N-90N
739,1962;44N-64N,0.31,1962,44N-64N
740,1962;24N-44N,0.14,1962,24N-44N
741,1962;EQU-24N,-0.05,1962,EQU-24N
742,1962;24S-EQU,-0.05,1962,24S-EQU
743,1962;44S-24S,0.09,1962,44S-24S
744,1962;64S-44S,-0.07,1962,64S-44S
745,1962;90S-64S,-0.65,1962,90S-64S
747,1963;64N-90N,-0.16,1963,64N-90N
748,1963;44N-64N,0.31,1963,44N-64N
749,1963;24N-44N,0.13,1963,24N-44N
750,1963;EQU-24N,0.14,1963,EQU-24N
751,1963;24S-EQU,0.1,1963,24S-EQU
752,1963;44S-24S,-0.1,1963,44S-24S
753,1963;64S-44S,-0.17,1963,64S-44S
754,1963;90S-64S,-0.03,1963,90S-64S
756,1964;64N-90N,-0.67,1964,64N-90N
757,1964;44N-64N,-0.2,1964,44N-64N
758,1964;24N-44N,-0.11,1964,24N-44N
759,1964;EQU-24N,-0.14,1964,EQU-24N
760,1964;24S-EQU,-0.14,1964,24S-EQU
761,1964;44S-24S,-0.3,1964,44S-24S
762,1964;64S-44S,-0.07,1964,64S-44S
763,1964;90S-64S,-0.38,1964,90S-64S
765,1965;64N-90N,-0.28,1965,64N-90N
766,1965;44N-64N,-0.24,1965,44N-64N
767,1965;24N-44N,-0.12,1965,24N-44N
768,1965;EQU-24N,-0.08,1965,EQU-24N
769,1965;24S-EQU,0.02,1965,24S-EQU
770,1965;44S-24S,-0.23,1965,44S-24S
771,1965;64S-44S,-0.03,1965,64S-44S
772,1965;90S-64S,-0.01,1965,90S-64S
774,1966;64N-90N,-0.76,1966,64N-90N
775,1966;44N-64N,-0.19,1966,44N-64N
776,1966;24N-44N,0.09,1966,24N-44N
777,1966;EQU-24N,0.16,1966,EQU-24N
778,1966;24S-EQU,-0.01,1966,24S-EQU
779,1966;44S-24S,-0.24,1966,44S-24S
780,1966;64S-44S,-0.13,1966,64S-44S
781,1966;90S-64S,0.11,1966,90S-64S
783,1967;64N-90N,0.36,1967,64N-90N
784,1967;44N-64N,0.26,1967,44N-64N
785,1967;24N-44N,-0.05,1967,24N-44N
786,1967;EQU-24N,-0.11,1967,EQU-24N
787,1967;24S-EQU,-0.17,1967,24S-EQU
788,1967;44S-24S,-0.09,1967,44S-24S
789,1967;64S-44S,-0.02,1967,64S-44S
790,1967;90S-64S,0.3,1967,90S-64S
792,1968;64N-90N,-0.33,1968,64N-90N
793,1968;44N-64N,-0.02,1968,44N-64N
794,1968;24N-44N,-0.09,1968,24N-44N
795,1968;EQU-24N,-0.02,1968,EQU-24N
796,1968;24S-EQU,-0.11,1968,24S-EQU
797,1968;44S-24S,-0.14,1968,44S-24S
798,1968;64S-44S,0.0,1968,64S-44S
799,1968;90S-64S,-0.06,1968,90S-64S
801,1969;64N-90N,-0.04,1969,64N-90N
802,1969;44N-64N,-0.61,1969,44N-64N
803,1969;24N-44N,-0.17,1969,24N-44N
804,1969;EQU-24N,0.35,1969,EQU-24N
805,1969;24S-EQU,0.32,1969,24S-EQU
806,1969;44S-24S,0.0,1969,44S-24S
807,1969;64S-44S,0.13,1969,64S-44S
808,1969;90S-64S,-0.14,1969,90S-64S
810,1970;64N-90N,-0.22,1970,64N-90N
811,1970;44N-64N,-0.13,1970,44N-64N
812,1970;24N-44N,-0.07,1970,24N-44N
813,1970;EQU-24N,0.06,1970,EQU-24N
814,1970;24S-EQU,0.06,1970,24S-EQU
815,1970;44S-24S,0.11,1970,44S-24S
816,1970;64S-44S,0.03,1970,64S-44S
817,1970;90S-64S,0.31,1970,90S-64S
819,1971;64N-90N,-0.08,1971,64N-90N
820,1971;44N-64N,0.01,1971,44N-64N
821,1971;24N-44N,-0.1,1971,24N-44N
822,1971;EQU-24N,-0.3,1971,EQU-24N
823,1971;24S-EQU,-0.22,1971,24S-EQU
824,1971;44S-24S,0.03,1971,44S-24S
825,1971;64S-44S,0.16,1971,64S-44S
826,1971;90S-64S,0.44,1971,90S-64S
828,1972;64N-90N,-0.37,1972,64N-90N
829,1972;44N-64N,-0.47,1972,44N-64N
830,1972;24N-44N,-0.25,1972,24N-44N
831,1972;EQU-24N,0.07,1972,EQU-24N
832,1972;24S-EQU,0.26,1972,24S-EQU
833,1972;44S-24S,0.16,1972,44S-24S
834,1972;64S-44S,-0.02,1972,64S-44S
835,1972;90S-64S,0.45,1972,90S-64S
837,1973;64N-90N,0.07,1973,64N-90N
838,1973;44N-64N,0.27,1973,44N-64N
839,1973;24N-44N,0.01,1973,24N-44N
840,1973;EQU-24N,0.08,1973,EQU-24N
841,1973;24S-EQU,0.29,1973,24S-EQU
842,1973;44S-24S,0.22,1973,44S-24S
843,1973;64S-44S,0.08,1973,64S-44S
844,1973;90S-64S,0.34,1973,90S-64S
846,1974;64N-90N,-0.19,1974,64N-90N
847,1974;44N-64N,-0.07,1974,44N-64N
848,1974;24N-44N,-0.18,1974,24N-44N
849,1974;EQU-24N,-0.23,1974,EQU-24N
850,1974;24S-EQU,-0.17,1974,24S-EQU
851,1974;44S-24S,0.21,1974,44S-24S
852,1974;64S-44S,-0.08,1974,64S-44S
853,1974;90S-64S,0.65,1974,90S-64S
855,1975;64N-90N,0.09,1975,64N-90N
856,1975;44N-64N,0.39,1975,44N-64N
857,1975;24N-44N,-0.05,1975,24N-44N
858,1975;EQU-24N,-0.31,1975,EQU-24N
859,1975;24S-EQU,-0.17,1975,24S-EQU
860,1975;44S-24S,0.13,1975,44S-24S
861,1975;64S-44S,0.14,1975,64S-44S
862,1975;90S-64S,0.29,1975,90S-64S
864,1976;64N-90N,-0.08,1976,64N-90N
865,1976;44N-64N,-0.32,1976,44N-64N
866,1976;24N-44N,-0.28,1976,24N-44N
867,1976;EQU-24N,-0.13,1976,EQU-24N
868,1976;24S-EQU,-0.1,1976,24S-EQU
869,1976;44S-24S,0.1,1976,44S-24S
870,1976;64S-44S,0.22,1976,64S-44S
871,1976;90S-64S,-0.24,1976,90S-64S
873,1977;64N-90N,0.16,1977,64N-90N
874,1977;44N-64N,0.24,1977,44N-64N
875,1977;24N-44N,0.06,1977,24N-44N
876,1977;EQU-24N,0.09,1977,EQU-24N
877,1977;24S-EQU,0.22,1977,24S-EQU
878,1977;44S-24S,0.22,1977,44S-24S
879,1977;64S-44S,0.31,1977,64S-44S
880,1977;90S-64S,0.28,1977,90S-64S
882,1978;64N-90N,-0.16,1978,64N-90N
883,1978;44N-64N,0.03,1978,44N-64N
884,1978;24N-44N,-0.04,1978,24N-44N
885,1978;EQU-24N,0.1,1978,EQU-24N
886,1978;24S-EQU,0.05,1978,24S-EQU
887,1978;44S-24S,0.21,1978,44S-24S
888,1978;64S-44S,0.13,1978,64S-44S
889,1978;90S-64S,0.04,1978,90S-64S
891,1979;64N-90N,-0.6,1979,64N-90N
892,1979;44N-64N,0.06,1979,44N-64N
893,1979;24N-44N,0.09,1979,24N-44N
894,1979;EQU-24N,0.25,1979,EQU-24N
895,1979;24S-EQU,0.27,1979,24S-EQU
896,1979;44S-24S,0.29,1979,44S-24S
897,1979;64S-44S,0.33,1979,64S-44S
898,1979;90S-64S,-0.21,1979,90S-64S
900,1980;64N-90N,0.25,1980,64N-90N
901,1980;44N-64N,0.02,1980,44N-64N
902,1980;24N-44N,0.02,1980,24N-44N
903,1980;EQU-24N,0.33,1980,EQU-24N
904,1980;24S-EQU,0.29,1980,24S-EQU
905,1980;44S-24S,0.35,1980,44S-24S
906,1980;64S-44S,0.37,1980,64S-44S
907,1980;90S-64S,0.59,1980,90S-64S
909,1981;64N-90N,1.09,1981,64N-90N
910,1981;44N-64N,0.78,1981,44N-64N
911,1981;24N-44N,0.08,1981,24N-44N
912,1981;EQU-24N,0.22,1981,EQU-24N
913,1981;24S-EQU,0.15,1981,24S-EQU
914,1981;44S-24S,0.28,1981,44S-24S
915,1981;64S-44S,0.38,1981,64S-44S
916,1981;90S-64S,0.6,1981,90S-64S
918,1982;64N-90N,-0.4,1982,64N-90N
919,1982;44N-64N,0.09,1982,44N-64N
920,1982;24N-44N,-0.08,1982,24N-44N
921,1982;EQU-24N,0.25,1982,EQU-24N
922,1982;24S-EQU,0.29,1982,24S-EQU
923,1982;44S-24S,0.18,1982,44S-24S
924,1982;64S-44S,0.32,1982,64S-44S
925,1982;90S-64S,-0.11,1982,90S-64S
927,1983;64N-90N,0.19,1983,64N-90N
928,1983;44N-64N,0.69,1983,44N-64N
929,1983;24N-44N,-0.07,1983,24N-44N
930,1983;EQU-24N,0.29,1983,EQU-24N
931,1983;24S-EQU,0.58,1983,24S-EQU
932,1983;44S-24S,0.21,1983,44S-24S
933,1983;64S-44S,0.41,1983,64S-44S
934,1983;90S-64S,0.04,1983,90S-64S
936,1984;64N-90N,0.36,1984,64N-90N
937,1984;44N-64N,0.08,1984,44N-64N
938,1984;24N-44N,-0.13,1984,24N-44N
939,1984;EQU-24N,0.07,1984,EQU-24N
940,1984;24S-EQU,0.29,1984,24S-EQU
941,1984;44S-24S,0.16,1984,44S-24S
942,1984;64S-44S,0.32,1984,64S-44S
943,1984;90S-64S,0.52,1984,90S-64S
945,1985;64N-90N,0.38,1985,64N-90N
946,1985;44N-64N,-0.26,1985,44N-64N
947,1985;24N-44N,-0.01,1985,24N-44N
948,1985;EQU-24N,0.04,1985,EQU-24N
949,1985;24S-EQU,0.14,1985,24S-EQU
950,1985;44S-24S,0.3,1985,44S-24S
951,1985;64S-44S,0.44,1985,64S-44S
952,1985;90S-64S,0.03,1985,90S-64S
954,1986;64N-90N,0.0,1986,64N-90N
955,1986;44N-64N,0.28,1986,44N-64N
956,1986;24N-44N,0.03,1986,24N-44N
957,1986;EQU-24N,0.17,1986,EQU-24N
958,1986;24S-EQU,0.28,1986,24S-EQU
959,1986;44S-24S,0.25,1986,44S-24S
960,1986;64S-44S,0.25,1986,64S-44S
961,1986;90S-64S,-0.11,1986,90S-64S
963,1987;64N-90N,-0.36,1987,64N-90N
964,1987;44N-64N,0.13,1987,44N-64N
965,1987;24N-44N,0.12,1987,24N-44N
966,1987;EQU-24N,0.54,1987,EQU-24N
967,1987;24S-EQU,0.62,1987,24S-EQU
968,1987;44S-24S,0.32,1987,44S-24S
969,1987;64S-44S,0.25,1987,64S-44S
970,1987;90S-64S,0.01,1987,90S-64S
972,1988;64N-90N,0.59,1988,64N-90N
973,1988;44N-64N,0.57,1988,44N-64N
974,1988;24N-44N,0.24,1988,24N-44N
975,1988;EQU-24N,0.32,1988,EQU-24N
976,1988;24S-EQU,0.43,1988,24S-EQU
977,1988;44S-24S,0.38,1988,44S-24S
978,1988;64S-44S,0.2,1988,64S-44S
979,1988;90S-64S,0.87,1988,90S-64S
981,1989;64N-90N,0.32,1989,64N-90N
982,1989;44N-64N,0.69,1989,44N-64N
983,1989;24N-44N,0.25,1989,24N-44N
984,1989;EQU-24N,0.06,1989,EQU-24N
985,1989;24S-EQU,0.19,1989,24S-EQU
986,1989;44S-24S,0.36,1989,44S-24S
987,1989;64S-44S,0.3,1989,64S-44S
988,1989;90S-64S,0.35,1989,90S-64S
990,1990;64N-90N,0.58,1990,64N-90N
991,1990;44N-64N,0.88,1990,44N-64N
992,1990;24N-44N,0.49,1990,24N-44N
993,1990;EQU-24N,0.37,1990,EQU-24N
994,1990;24S-EQU,0.37,1990,24S-EQU
995,1990;44S-24S,0.37,1990,44S-24S
996,1990;64S-44S,0.37,1990,64S-44S
997,1990;90S-64S,0.36,1990,90S-64S
999,1991;64N-90N,0.74,1991,64N-90N
1000,1991;44N-64N,0.66,1991,44N-64N
1001,1991;24N-44N,0.26,1991,24N-44N
1002,1991;EQU-24N,0.32,1991,EQU-24N
1003,1991;24S-EQU,0.41,1991,24S-EQU
1004,1991;44S-24S,0.31,1991,44S-24S
1005,1991;64S-44S,0.29,1991,64S-44S
1006,1991;90S-64S,0.95,1991,90S-64S
1008,1992;64N-90N,-0.17,1992,64N-90N
1009,1992;44N-64N,0.44,1992,44N-64N
1010,1992;24N-44N,-0.04,1992,24N-44N
1011,1992;EQU-24N,0.19,1992,EQU-24N
1012,1992;24S-EQU,0.37,1992,24S-EQU
1013,1992;44S-24S,0.2,1992,44S-24S
1014,1992;64S-44S,0.33,1992,64S-44S
1015,1992;90S-64S,0.38,1992,90S-64S
1017,1993;64N-90N,0.54,1993,64N-90N
1018,1993;44N-64N,0.29,1993,44N-64N
1019,1993;24N-44N,-0.11,1993,24N-44N
1020,1993;EQU-24N,0.28,1993,EQU-24N
1021,1993;24S-EQU,0.36,1993,24S-EQU
1022,1993;44S-24S,0.27,1993,44S-24S
1023,1993;64S-44S,0.39,1993,64S-44S
1024,1993;90S-64S,-0.3,1993,90S-64S
1026,1994;64N-90N,0.34,1994,64N-90N
1027,1994;44N-64N,0.5,1994,44N-64N
1028,1994;24N-44N,0.42,1994,24N-44N
1029,1994;EQU-24N,0.27,1994,EQU-24N
1030,1994;24S-EQU,0.34,1994,24S-EQU
1031,1994;44S-24S,0.26,1994,44S-24S
1032,1994;64S-44S,0.23,1994,64S-44S
1033,1994;90S-64S,-0.05,1994,90S-64S
1035,1995;64N-90N,1.3,1995,64N-90N
1036,1995;44N-64N,0.98,1995,44N-64N
1037,1995;24N-44N,0.32,1995,24N-44N
1038,1995;EQU-24N,0.4,1995,EQU-24N
1039,1995;24S-EQU,0.45,1995,24S-EQU
1040,1995;44S-24S,0.29,1995,44S-24S
1041,1995;64S-44S,0.15,1995,64S-44S
1042,1995;90S-64S,0.14,1995,90S-64S
1044,1996;64N-90N,0.76,1996,64N-90N
1045,1996;44N-64N,0.17,1996,44N-64N
1046,1996;24N-44N,0.1,1996,24N-44N
1047,1996;EQU-24N,0.3,1996,EQU-24N
1048,1996;24S-EQU,0.32,1996,24S-EQU
1049,1996;44S-24S,0.33,1996,44S-24S
1050,1996;64S-44S,0.28,1996,64S-44S
1051,1996;90S-64S,1.19,1996,90S-64S
1053,1997;64N-90N,0.76,1997,64N-90N
1054,1997;44N-64N,0.9,1997,44N-64N
1055,1997;24N-44N,0.22,1997,24N-44N
1056,1997;EQU-24N,0.49,1997,EQU-24N
1057,1997;24S-EQU,0.52,1997,24S-EQU
1058,1997;44S-24S,0.42,1997,44S-24S
1059,1997;64S-44S,0.36,1997,64S-44S
1060,1997;90S-64S,-0.04,1997,90S-64S
1062,1998;64N-90N,0.86,1998,64N-90N
1063,1998;44N-64N,0.94,1998,44N-64N
1064,1998;24N-44N,0.65,1998,24N-44N
1065,1998;EQU-24N,0.59,1998,EQU-24N
1066,1998;24S-EQU,0.79,1998,24S-EQU
1067,1998;44S-24S,0.39,1998,44S-24S
1068,1998;64S-44S,0.31,1998,64S-44S
1069,1998;90S-64S,0.11,1998,90S-64S
1071,1999;64N-90N,0.4,1999,64N-90N
1072,1999;44N-64N,0.8,1999,44N-64N
1073,1999;24N-44N,0.74,1999,24N-44N
1074,1999;EQU-24N,0.15,1999,EQU-24N
1075,1999;24S-EQU,0.25,1999,24S-EQU
1076,1999;44S-24S,0.46,1999,44S-24S
1077,1999;64S-44S,0.19,1999,64S-44S
1078,1999;90S-64S,0.0,1999,90S-64S
1080,2000;64N-90N,0.96,2000,64N-90N
1081,2000;44N-64N,0.8,2000,44N-64N
1082,2000;24N-44N,0.55,2000,24N-44N
1083,2000;EQU-24N,0.2,2000,EQU-24N
1084,2000;24S-EQU,0.28,2000,24S-EQU
1085,2000;44S-24S,0.42,2000,44S-24S
1086,2000;64S-44S,0.1,2000,64S-44S
1087,2000;90S-64S,0.23,2000,90S-64S
1089,2001;64N-90N,1.05,2001,64N-90N
1090,2001;44N-64N,0.86,2001,44N-64N
1091,2001;24N-44N,0.68,2001,24N-44N
1092,2001;EQU-24N,0.39,2001,EQU-24N
1093,2001;24S-EQU,0.44,2001,24S-EQU
1094,2001;44S-24S,0.58,2001,44S-24S
1095,2001;64S-44S,0.24,2001,64S-44S
1096,2001;90S-64S,0.26,2001,90S-64S
1098,2002;64N-90N,1.24,2002,64N-90N
1099,2002;44N-64N,1.0,2002,44N-64N
1100,2002;24N-44N,0.58,2002,24N-44N
1101,2002;EQU-24N,0.54,2002,EQU-24N
1102,2002;24S-EQU,0.63,2002,24S-EQU
1103,2002;44S-24S,0.49,2002,44S-24S
1104,2002;64S-44S,0.32,2002,64S-44S
1105,2002;90S-64S,0.76,2002,90S-64S
1107,2003;64N-90N,1.48,2003,64N-90N
1108,2003;44N-64N,0.98,2003,44N-64N
1109,2003;24N-44N,0.54,2003,24N-44N
1110,2003;EQU-24N,0.6,2003,EQU-24N
1111,2003;24S-EQU,0.66,2003,24S-EQU
1112,2003;44S-24S,0.44,2003,44S-24S
1113,2003;64S-44S,0.24,2003,64S-44S
1114,2003;90S-64S,0.39,2003,90S-64S
1116,2004;64N-90N,0.45,2004,64N-90N
1117,2004;44N-64N,0.95,2004,44N-64N
1118,2004;24N-44N,0.66,2004,24N-44N
1119,2004;EQU-24N,0.55,2004,EQU-24N
1120,2004;24S-EQU,0.53,2004,24S-EQU
1121,2004;44S-24S,0.48,2004,44S-24S
1122,2004;64S-44S,0.23,2004,64S-44S
1123,2004;90S-64S,-0.02,2004,90S-64S
1125,2005;64N-90N,1.97,2005,64N-90N
1126,2005;44N-64N,1.22,2005,44N-64N
1127,2005;24N-44N,0.57,2005,24N-44N
1128,2005;EQU-24N,0.61,2005,EQU-24N
1129,2005;24S-EQU,0.61,2005,24S-EQU
1130,2005;44S-24S,0.49,2005,44S-24S
1131,2005;64S-44S,0.18,2005,64S-44S
1132,2005;90S-64S,0.67,2005,90S-64S
1134,2006;64N-90N,1.72,2006,64N-90N
1135,2006;44N-64N,1.06,2006,44N-64N
1136,2006;24N-44N,0.69,2006,24N-44N
1137,2006;EQU-24N,0.56,2006,EQU-24N
1138,2006;24S-EQU,0.53,2006,24S-EQU
1139,2006;44S-24S,0.51,2006,44S-24S
1140,2006;64S-44S,0.19,2006,64S-44S
1141,2006;90S-64S,0.45,2006,90S-64S
1143,2007;64N-90N,2.1,2007,64N-90N
1144,2007;44N-64N,1.32,2007,44N-64N
1145,2007;24N-44N,0.69,2007,24N-44N
1146,2007;EQU-24N,0.44,2007,EQU-24N
1147,2007;24S-EQU,0.47,2007,24S-EQU
1148,2007;44S-24S,0.49,2007,44S-24S
1149,2007;64S-44S,0.07,2007,64S-44S
1150,2007;90S-64S,1.24,2007,90S-64S
1152,2008;64N-90N,1.52,2008,64N-90N
1153,2008;44N-64N,1.07,2008,44N-64N
1154,2008;24N-44N,0.61,2008,24N-44N
1155,2008;EQU-24N,0.32,2008,EQU-24N
1156,2008;24S-EQU,0.41,2008,24S-EQU
1157,2008;44S-24S,0.52,2008,44S-24S
1158,2008;64S-44S,0.09,2008,64S-44S
1159,2008;90S-64S,0.61,2008,90S-64S
1161,2009;64N-90N,1.4,2009,64N-90N
1162,2009;44N-64N,0.6,2009,44N-64N
1163,2009;24N-44N,0.68,2009,24N-44N
1164,2009;EQU-24N,0.64,2009,EQU-24N
1165,2009;24S-EQU,0.69,2009,24S-EQU
1166,2009;44S-24S,0.6,2009,44S-24S
1167,2009;64S-44S,0.15,2009,64S-44S
1168,2009;90S-64S,0.96,2009,90S-64S
1170,2010;64N-90N,2.2,2010,64N-90N
1171,2010;44N-64N,0.86,2010,44N-64N
1172,2010;24N-44N,0.74,2010,24N-44N
1173,2010;EQU-24N,0.71,2010,EQU-24N
1174,2010;24S-EQU,0.64,2010,24S-EQU
1175,2010;44S-24S,0.63,2010,44S-24S
1176,2010;64S-44S,0.2,2010,64S-44S
1177,2010;90S-64S,0.49,2010,90S-64S
1179,2011;64N-90N,2.33,2011,64N-90N
1180,2011;44N-64N,0.94,2011,44N-64N
1181,2011;24N-44N,0.58,2011,24N-44N
1182,2011;EQU-24N,0.38,2011,EQU-24N
1183,2011;24S-EQU,0.34,2011,24S-EQU
1184,2011;44S-24S,0.64,2011,44S-24S
1185,2011;64S-44S,0.18,2011,64S-44S
1186,2011;90S-64S,1.06,2011,90S-64S
1188,2012;64N-90N,2.2,2012,64N-90N
1189,2012;44N-64N,0.93,2012,44N-64N
1190,2012;24N-44N,0.73,2012,24N-44N
1191,2012;EQU-24N,0.47,2012,EQU-24N
1192,2012;24S-EQU,0.56,2012,24S-EQU
1193,2012;44S-24S,0.56,2012,44S-24S
1194,2012;64S-44S,0.19,2012,64S-44S
1195,2012;90S-64S,0.4,2012,90S-64S
1197,2013;64N-90N,1.53,2013,64N-90N
1198,2013;44N-64N,1.04,2013,44N-64N
1199,2013;24N-44N,0.69,2013,24N-44N
1200,2013;EQU-24N,0.57,2013,EQU-24N
1201,2013;24S-EQU,0.57,2013,24S-EQU
1202,2013;44S-24S,0.62,2013,44S-24S
1203,2013;64S-44S,0.22,2013,64S-44S
1204,2013;90S-64S,0.88,2013,90S-64S
1206,2014;64N-90N,2.02,2014,64N-90N
1207,2014;44N-64N,1.14,2014,44N-64N
1208,2014;24N-44N,0.73,2014,24N-44N
1209,2014;EQU-24N,0.68,2014,EQU-24N
1210,2014;24S-EQU,0.64,2014,24S-EQU
1211,2014;44S-24S,0.72,2014,44S-24S
1212,2014;64S-44S,0.18,2014,64S-44S
1213,2014;90S-64S,0.56,2014,90S-64S
1215,2015;64N-90N,1.98,2015,64N-90N
1216,2015;44N-64N,1.48,2015,44N-64N
1217,2015;24N-44N,0.99,2015,24N-44N
1218,2015;EQU-24N,0.97,2015,EQU-24N
1219,2015;24S-EQU,0.93,2015,24S-EQU
1220,2015;44S-24S,0.75,2015,44S-24S
1221,2015;64S-44S,0.18,2015,64S-44S
1222,2015;90S-64S,-0.33,2015,90S-64S
1224,2016;64N-90N,3.24,2016,64N-90N
1225,2016;44N-64N,1.43,2016,44N-64N
1226,2016;24N-44N,1.07,2016,24N-44N
1227,2016;EQU-24N,0.95,2016,EQU-24N
1228,2016;24S-EQU,1.06,2016,24S-EQU
1229,2016;44S-24S,0.67,2016,44S-24S
1230,2016;64S-44S,0.25,2016,64S-44S
1231,2016;90S-64S,0.41,2016,90S-64S
1233,2017;64N-90N,2.51,2017,64N-90N
1234,2017;44N-64N,1.38,2017,44N-64N
1235,2017;24N-44N,1.03,2017,24N-44N
1236,2017;EQU-24N,0.86,2017,EQU-24N
1237,2017;24S-EQU,0.76,2017,24S-EQU
1238,2017;44S-24S,0.76,2017,44S-24S
1239,2017;64S-44S,0.35,2017,64S-44S
1240,2017;90S-64S,0.54,2017,90S-64S
