,Year,Zone,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
404,2014,North Hemisphere,0.96,0.71,1.19,1.08,0.89,0.81,0.76,0.9,0.83,0.92,0.8,1.1
405,2015,Global,0.85,0.9,0.95,0.75,0.8,0.81,0.73,0.8,0.84,1.09,1.06,1.16
406,2015,South Hemisphere,0.51,0.61,0.58,0.48,0.56,0.58,0.56,0.6,0.54,0.91,0.75,0.8
407,2015,North Hemisphere,1.17,1.19,1.32,1.02,1.04,1.05,0.91,1.01,1.17,1.29,1.38,1.53
408,2016,Global,1.17,1.37,1.36,1.1,0.95,0.8,0.84,1.02,0.9,0.88,0.91,0.86
409,2016,South Hemisphere,0.79,0.78,0.81,0.73,0.79,0.49,0.67,0.92,0.59,0.74,0.71,0.69
410,2016,North Hemisphere,1.54,1.94,1.9,1.47,1.11,1.12,1.03,1.12,1.22,1.03,1.11,1.04
411,2017,Global,1.01,1.13,1.16,0.94,0.9,0.71,0.81,0.87,0.77,0.9,0.88,0.93
412,2017,South Hemisphere,0.65,0.74,0.8,0.68,0.89,0.51,0.67,0.73,0.54,0.75,0.53,0.47
413,2017,North Hemisphere,1.38,1.51,1.51,1.19,0.92,0.92,0.96,1.01,1.0,1.04,1.22,1.39
414,2018,South Hemisphere,0.47,0.44,0.59,0.8,0.63,0.68,0.75,0.66,0.64,0.79,0.68,0.73
415,2018,North Hemisphere,1.13,1.24,1.16,0.96,1.0,0.86,0.89,0.86,0.96,1.23,0.96,1.09
416,2018,Global,0.81,0.84,0.88,0.88,0.82,0.77,0.82,0.76,0.8,1.01,0.82,0.91
417,2019,Global,0.92,0.95,1.17,1.01,0.84,0.9,0.94,0.94,0.92,1.01,0.99,1.08
418,2019,South Hemisphere,0.65,0.76,0.78,0.77,0.71,0.63,0.85,0.8,0.63,0.72,0.78,0.78
419,2019,North Hemisphere,1.19,1.12,1.54,1.24,0.98,1.19,1.03,1.08,1.2,1.3,1.2,1.39
420,2020,North Hemisphere,1.58,1.7,1.65,1.4,1.27,1.13,1.1,1.12,1.19,1.21,1.6,1.23
421,2020,Global,1.16,1.24,1.16,1.13,1.01,0.91,0.9,0.87,0.98,0.88,1.1,0.81
422,2020,South Hemisphere,0.74,0.77,0.67,0.85,0.75,0.71,0.7,0.62,0.77,0.56,0.6,0.39
423,2021,South Hemisphere,0.35,0.32,0.56,0.37,0.53,0.48,0.78,0.61,0.79,0.68,0.55,0.56
424,2021,North Hemisphere,1.26,0.96,1.19,1.11,1.03,1.2,1.06,1.01,1.04,1.3,1.29,1.14
425,2021,Global,0.81,0.64,0.88,0.74,0.78,0.84,0.92,0.81,0.91,0.99,0.92,0.85
426,2022,North Hemisphere,1.25,1.17,1.42,1.08,,,,,,,,
427,2022,Global,0.91,0.89,1.04,0.82,,,,,,,,
428,2022,South Hemisphere,0.56,0.6,0.66,0.55,,,,,,,,
