,index,Country,Annual,DJF,MAM,JJA,SON,Seuil
0,0,Netherlands Antilles,65.6,0.03,0.35,26.55,41.08,Vivable
1,0,United Arab Emirates,21.86,0.0,10.05,1.5,12.35,Vivable
2,0,Argentina,4.19,3.28,0.46,0.0,0.35,Vivable
3,0,Armenia,0.0,0.0,0.0,0.0,0.0,Vivable
4,0,American Samoa,39.7,15.54,23.44,0.04,0.02,Vivable
5,0,Antigua and Barbuda,17.85,0.0,0.0,5.09,13.13,Vivable
6,0,Australia,5.48,3.86,1.18,0.0,0.74,Vivable
7,0,Austria,0.0,0.0,0.0,0.0,0.0,Vivable
8,0,Azerbaijan,2.02,0.0,0.0,1.99,0.02,Vivable
9,0,Burundi,0.0,0.0,0.0,0.0,0.0,Vivable
10,0,Belgium,0.0,0.0,0.0,0.0,0.0,Vivable
11,0,Benin,57.56,3.08,31.64,12.19,5.85,Vivable
12,0,Burkina Faso,43.9,0.06,17.47,14.4,9.63,Vivable
13,0,Bangladesh,22.89,0.0,18.38,1.6,12.18,Vivable
14,0,Bulgaria,0.0,0.0,0.0,0.0,0.0,Vivable
15,0,Bahrain,-17.8,0.0,10.4,-24.2,0.08,Vivable
16,0,"Bahamas, The",9.81,0.0,0.0,5.27,4.23,Vivable
17,0,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,Vivable
18,0,Belarus,0.0,0.0,0.0,0.0,0.0,Vivable
19,0,Belize,32.25,0.0,4.66,18.08,9.98,Vivable
20,0,Bermuda,0.0,0.0,0.0,0.0,0.0,Vivable
21,0,Bolivia,36.18,14.67,6.0,0.43,15.08,Vivable
22,0,Brazil,38.86,9.93,7.04,2.9,19.99,Vivable
23,0,Barbados,39.26,0.0,0.0,13.97,20.69,Vivable
24,0,Brunei,26.49,0.65,9.36,13.37,5.33,Vivable
25,0,Bhutan,0.47,0.0,0.01,0.44,0.0,Vivable
26,0,Botswana,0.02,0.01,0.0,0.0,0.0,Vivable
27,0,Central African Republic,1.48,0.01,1.35,0.13,0.01,Vivable
28,0,Canada,0.0,0.0,0.0,0.0,0.0,Vivable
29,0,Cocos (Keeling) Islands,6.23,1.88,5.13,0.0,0.0,Vivable
30,0,Switzerland,0.0,0.0,0.0,0.0,0.0,Vivable
31,0,Chile,0.0,0.0,0.0,0.0,0.0,Vivable
32,0,China,5.19,,,,,Vivable
33,0,Cote d'Ivoire,36.45,2.97,29.12,2.74,0.53,Vivable
34,0,Cameroon,3.61,0.17,2.55,0.83,0.26,Vivable
35,0,Congo (Democratic Republic of the),3.03,0.34,1.75,0.14,0.31,Vivable
36,0,Congo (Republic of the),0.88,0.15,0.61,0.01,0.04,Vivable
37,0,Cook Islands,2.11,0.66,1.21,0.0,0.0,Vivable
38,0,Colombia,38.21,4.16,11.63,8.05,15.76,Vivable
39,0,Comoros,11.02,,,,,Vivable
40,0,Cape Verde,0.01,,,,,Vivable
41,0,Costa Rica,14.67,,,,,Vivable
42,0,Cuba,16.34,,,,,Vivable
43,0,Christmas Island,2.89,0.66,2.38,0.0,0.0,Vivable
44,0,Cayman Islands,79.85,0.0,0.0,44.05,35.6,Vivable
45,0,Cyprus,5.92,0.0,0.0,5.65,0.33,Vivable
46,0,Czech Republic,0.0,,,,,Vivable
47,0,Germany,0.0,,,,,Vivable
48,0,Djibouti,36.65,0.02,14.31,14.86,8.92,Vivable
49,0,Dominica,1.73,0.0,0.0,0.16,1.57,Vivable
50,0,Denmark,0.0,0.0,0.0,0.0,0.0,Vivable
51,0,Dominican Republic,4.62,0.0,0.0,1.91,2.74,Vivable
52,0,Algeria,17.44,0.0,0.33,15.13,1.75,Vivable
53,0,Ecuador,6.19,1.63,2.0,0.46,2.25,Vivable
54,0,Egypt,16.48,0.0,0.27,13.56,1.81,Vivable
55,0,Eritrea,24.75,0.03,6.67,12.36,6.43,Vivable
56,0,Western Sahara,15.62,0.0,0.05,13.17,2.27,Vivable
57,0,Spain,0.05,0.0,0.0,0.05,0.0,Vivable
58,0,Estonia,0.0,0.0,0.0,0.0,0.0,Vivable
59,0,Ethiopia,2.17,,,,,Vivable
60,0,Finland,0.0,0.0,0.0,0.0,0.0,Vivable
61,0,Fiji,2.19,0.68,1.42,0.0,0.0,Vivable
62,0,Falkland Islands (Islas Malvinas),0.0,0.0,0.0,0.0,0.0,Vivable
63,0,France,0.0,0.0,0.0,0.0,0.0,Vivable
64,0,Faroe Islands,0.0,0.0,0.0,0.0,0.0,Vivable
65,0,Federated States of Micronesia,16.54,2.05,1.33,5.14,5.42,Vivable
66,0,Gabon,2.59,0.13,1.88,0.06,0.01,Vivable
